2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-08-08/17:28:58		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-08-08/17:28:58		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-08-08/17:28:58		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-08-08/17:28:59		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-08-08/17:28:59		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-08-08/17:28:59		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-08-08/17:29:00		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-08-08/17:29:00		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-08-08/17:29:01		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-08-08/17:35:33		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-08-08/17:35:33		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-08-08/17:35:33		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-08-08/17:35:34		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-08-08/17:35:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-08-08/17:35:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-08-08/17:35:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-08-08/17:35:35		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-08-08/17:35:36		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-08-08/17:37:14		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-08-08/17:37:14		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-08-08/17:37:14		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-08-08/17:37:14		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-08-08/17:37:15		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-08-08/17:37:15		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-08-08/17:37:16		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-08-08/17:37:16		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-08-08/17:37:16		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-08-08/22:24:26		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-08-08/22:24:27		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-08-08/22:24:27		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-08-08/22:24:27		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-08-08/22:24:28		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-08-08/22:24:28		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-08-08/22:24:29		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-08-08/22:24:29		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-08-08/22:24:30		 wafer_29012020_050617.csv: File Transformed successfully!!
